user_id,month,total_income,total_expenses,savings,savings_ratio,debt_ratio,expense_ratio,predicted_financial_health
user_96,2024-01,166720.7,103605.11,63115.59,0.379,36.805,0.621,Moderate
user_96,2024-02,139972.38,122007.64,17964.74,0.128,37.251,0.872,Moderate
user_96,2024-03,140599.83,99105.45,41494.39,0.295,37.284,0.705,Moderate
user_96,2024-04,156935.44,118460.47,38474.97,0.245,37.099,0.755,Moderate
user_96,2024-05,154945.27,107025.89,47919.38,0.309,36.007,0.691,Moderate
user_96,2024-06,154453.37,107835.94,46617.42,0.302,32.688,0.698,Moderate
user_96,2024-07,142808.34,101132.87,41675.47,0.292,31.153,0.708,Moderate
user_96,2024-08,157356.45,106891.81,50464.64,0.321,33.421,0.679,Moderate
user_96,2024-09,157774.57,112166.59,45607.98,0.289,32.045,0.711,Moderate
user_96,2024-10,153026.05,118797.61,34228.44,0.224,33.85,0.776,Moderate
user_96,2024-11,166123.63,108347.9,57775.73,0.348,31.882,0.652,Moderate
user_96,2024-12,148835.71,102781.1,46054.61,0.309,33.158,0.691,Moderate
user_16,2024-01,213837.36,128361.06,85476.3,0.4,28.926,0.6,Good
user_16,2024-02,199923.82,135060.25,64863.57,0.324,28.872,0.676,Good
user_16,2024-03,231070.99,131079.38,99991.61,0.433,28.485,0.567,Good
user_16,2024-04,202479.91,143371.96,59107.94,0.292,25.655,0.708,Good
user_16,2024-05,228120.6,153736.16,74384.44,0.326,24.765,0.674,Good
user_16,2024-06,230573.67,153628.08,76945.59,0.334,27.087,0.666,Good
user_16,2024-07,218190.62,146058.69,72131.93,0.331,27.546,0.669,Good
user_16,2024-08,231371.16,126919.67,104451.49,0.451,28.865,0.549,Good
user_16,2024-09,205549.2,152983.09,52566.11,0.256,26.056,0.744,Good
user_16,2024-10,226516.25,141499.09,85017.16,0.375,27.125,0.625,Good
user_16,2024-11,199439.37,155333.27,44106.1,0.221,28.68,0.779,Good
user_16,2024-12,225769.95,164207.32,61562.63,0.273,26.429,0.727,Good
user_31,2024-01,223365.37,157955.26,65410.11,0.293,24.48,0.707,Good
user_31,2024-02,252068.74,162239.08,89829.66,0.356,22.842,0.644,Good
user_31,2024-03,258799.17,169645.74,89153.43,0.344,24.049,0.656,Good
user_31,2024-04,233322.24,192317.99,41004.26,0.176,20.9,0.824,Good
user_31,2024-05,247812.76,166975.08,80837.69,0.326,22.834,0.674,Good
user_31,2024-06,250066.33,185276.53,64789.8,0.259,22.694,0.741,Good
user_31,2024-07,258168.62,172988.49,85180.13,0.33,20.537,0.67,Good
user_31,2024-08,241344.64,189436.85,51907.79,0.215,22.456,0.785,Good
user_31,2024-09,235304.38,186487.18,48817.2,0.207,20.752,0.793,Good
user_31,2024-10,252488.79,187815.81,64672.98,0.256,21.225,0.744,Good
user_31,2024-11,228957.79,195953.7,33004.09,0.144,21.614,0.856,Good
user_31,2024-12,248630.43,192544.94,56085.49,0.226,24.008,0.774,Good
user_159,2024-01,58709.45,25578.77,33130.68,0.564,5.98,0.436,Moderate
user_159,2024-02,56238.58,22688.09,33550.49,0.597,5.231,0.403,Moderate
user_159,2024-03,57208.18,25499.37,31708.81,0.554,5.309,0.446,Moderate
user_159,2024-04,52567.64,27593.65,24974.0,0.475,6.017,0.525,Moderate
user_159,2024-05,60072.39,29794.01,30278.38,0.504,6.297,0.496,Moderate
user_159,2024-06,52667.26,27488.3,25178.96,0.478,5.735,0.522,Moderate
user_159,2024-07,51598.22,24895.31,26702.92,0.518,5.38,0.482,Moderate
user_159,2024-08,60300.32,26270.23,34030.09,0.564,5.532,0.436,Moderate
user_159,2024-09,57557.03,23436.44,34120.59,0.593,5.884,0.407,Moderate
user_159,2024-10,59347.58,25984.94,33362.63,0.562,6.189,0.438,Moderate
user_159,2024-11,59770.74,26347.09,33423.65,0.559,5.863,0.441,Moderate
user_159,2024-12,51228.49,28226.47,23002.02,0.449,5.199,0.551,Moderate
user_129,2024-01,40931.35,44385.47,-3454.12,0.0,20.957,1.084,Good
user_129,2024-02,38791.09,43239.89,-4448.81,0.0,19.55,1.115,Good
user_129,2024-03,43710.76,42629.18,1081.58,0.025,20.936,0.975,Good
user_129,2024-04,45611.59,43036.62,2574.97,0.056,17.452,0.944,Good
user_129,2024-05,40095.65,40934.45,-838.8,0.0,17.458,1.021,Good
user_129,2024-06,38524.64,35690.3,2834.34,0.074,21.02,0.926,Good
user_129,2024-07,42215.62,35147.95,7067.67,0.167,20.356,0.833,Good
user_129,2024-08,44684.38,35087.87,9596.51,0.215,20.769,0.785,Good
user_129,2024-09,38095.44,41257.17,-3161.73,0.0,20.763,1.083,Good
user_129,2024-10,45119.74,43557.03,1562.71,0.035,17.451,0.965,Good
user_129,2024-11,39008.01,38931.56,76.45,0.002,21.098,0.998,Good
user_129,2024-12,42344.11,45604.08,-3259.97,0.0,19.017,1.077,Good
user_116,2024-01,54030.01,29326.14,24703.88,0.457,59.637,0.543,Moderate
user_116,2024-02,56600.39,29148.3,27452.09,0.485,58.304,0.515,Moderate
user_116,2024-03,55749.99,24033.01,31716.98,0.569,58.224,0.431,Moderate
user_116,2024-04,51860.2,28349.61,23510.58,0.453,57.952,0.547,Moderate
user_116,2024-05,50599.89,25633.21,24966.68,0.493,58.865,0.507,Moderate
user_116,2024-06,49047.71,29446.51,19601.21,0.4,57.568,0.6,Moderate
user_116,2024-07,49356.08,30237.43,19118.65,0.387,56.415,0.613,Moderate
user_116,2024-08,51685.74,29998.6,21687.15,0.42,54.959,0.58,Moderate
user_116,2024-09,51697.18,29519.44,22177.74,0.429,60.196,0.571,Moderate
user_116,2024-10,55425.48,31603.13,23822.36,0.43,55.709,0.57,Moderate
user_116,2024-11,54016.61,28314.72,25701.89,0.476,52.134,0.524,Moderate
user_116,2024-12,51544.56,23942.71,27601.85,0.535,54.099,0.465,Moderate
user_70,2024-01,74270.88,25772.73,48498.15,0.653,19.114,0.347,Moderate
user_70,2024-02,67402.88,27725.2,39677.68,0.589,17.21,0.411,Moderate
user_70,2024-03,72530.89,30388.08,42142.8,0.581,17.476,0.419,Moderate
user_70,2024-04,68105.3,30623.27,37482.03,0.55,16.566,0.45,Moderate
user_70,2024-05,64340.31,28657.69,35682.62,0.555,17.349,0.445,Moderate
user_70,2024-06,72992.95,26582.04,46410.9,0.636,17.338,0.364,Moderate
user_70,2024-07,72952.96,31671.43,41281.52,0.566,19.131,0.434,Moderate
user_70,2024-08,75290.59,32256.74,43033.85,0.572,19.458,0.428,Moderate
user_70,2024-09,65480.01,26035.47,39444.54,0.602,19.096,0.398,Moderate
user_70,2024-10,68168.79,30087.76,38081.03,0.559,19.278,0.441,Moderate
user_70,2024-11,72229.93,27197.62,45032.31,0.623,16.777,0.377,Moderate
user_70,2024-12,69744.97,32820.83,36924.14,0.529,18.233,0.471,Moderate
user_171,2024-01,197365.34,142789.49,54575.85,0.277,20.331,0.723,Needs Improvement
user_171,2024-02,220574.74,170299.86,50274.88,0.228,19.367,0.772,Needs Improvement
user_171,2024-03,207722.47,163107.66,44614.81,0.215,23.65,0.785,Needs Improvement
user_171,2024-04,234141.86,150312.4,83829.46,0.358,21.655,0.642,Needs Improvement
user_171,2024-05,209110.34,153278.16,55832.18,0.267,23.014,0.733,Needs Improvement
user_171,2024-06,203273.64,131811.01,71462.64,0.352,23.083,0.648,Needs Improvement
user_171,2024-07,208980.98,135994.81,72986.17,0.349,23.523,0.651,Needs Improvement
user_171,2024-08,219724.69,144455.58,75269.11,0.343,22.798,0.657,Needs Improvement
user_171,2024-09,211764.22,164251.81,47512.41,0.224,22.267,0.776,Needs Improvement
user_171,2024-10,227677.87,163702.13,63975.74,0.281,22.787,0.719,Needs Improvement
user_171,2024-11,207792.1,169609.99,38182.11,0.184,20.123,0.816,Needs Improvement
user_171,2024-12,204990.04,170137.88,34852.16,0.17,22.411,0.83,Needs Improvement
user_175,2024-01,118412.66,92087.97,26324.69,0.222,36.85,0.778,Needs Improvement
user_175,2024-02,121485.13,82537.55,38947.58,0.321,32.521,0.679,Needs Improvement
user_175,2024-03,123372.15,93815.04,29557.11,0.24,30.72,0.76,Needs Improvement
user_175,2024-04,133571.66,88892.05,44679.61,0.334,35.546,0.666,Needs Improvement
user_175,2024-05,126528.79,79853.74,46675.05,0.369,32.952,0.631,Needs Improvement
user_175,2024-06,135009.13,80214.09,54795.04,0.406,35.563,0.594,Needs Improvement
user_175,2024-07,115627.66,90098.38,25529.28,0.221,36.089,0.779,Needs Improvement
user_175,2024-08,136693.75,82640.03,54053.72,0.395,31.128,0.605,Needs Improvement
user_175,2024-09,133069.26,81651.92,51417.34,0.386,32.586,0.614,Needs Improvement
user_175,2024-10,121725.45,93992.21,27733.24,0.228,32.567,0.772,Needs Improvement
user_175,2024-11,124525.78,72539.52,51986.26,0.417,35.259,0.583,Needs Improvement
user_175,2024-12,135552.96,91175.93,44377.03,0.327,35.71,0.673,Needs Improvement
user_46,2024-01,204379.9,146856.78,57523.12,0.281,28.029,0.719,Good
user_46,2024-02,186933.8,171568.24,15365.56,0.082,30.661,0.918,Good
user_46,2024-03,209055.65,181278.58,27777.07,0.133,27.159,0.867,Good
user_46,2024-04,219746.82,160300.85,59445.97,0.271,29.878,0.729,Good
user_46,2024-05,215500.04,153857.55,61642.5,0.286,26.767,0.714,Good
user_46,2024-06,195086.81,145785.85,49300.96,0.253,25.962,0.747,Good
user_46,2024-07,214956.05,165005.18,49950.87,0.232,29.391,0.768,Good
user_46,2024-08,196252.68,180415.15,15837.53,0.081,30.911,0.919,Good
user_46,2024-09,206619.53,176330.67,30288.87,0.147,29.32,0.853,Good
user_46,2024-10,195408.62,153957.15,41451.46,0.212,29.033,0.788,Good
user_46,2024-11,204166.81,169362.94,34803.87,0.17,26.433,0.83,Good
user_46,2024-12,222707.81,181700.29,41007.52,0.184,30.646,0.816,Good
user_67,2024-01,129604.29,87879.77,41724.52,0.322,21.517,0.678,Moderate
user_67,2024-02,134136.74,88091.55,46045.19,0.343,21.769,0.657,Moderate
user_67,2024-03,119870.27,85497.29,34372.98,0.287,22.203,0.713,Moderate
user_67,2024-04,130734.24,97074.14,33660.1,0.257,20.262,0.743,Moderate
user_67,2024-05,138691.92,81397.36,57294.56,0.413,20.681,0.587,Moderate
user_67,2024-06,126826.93,90618.47,36208.47,0.285,21.631,0.715,Moderate
user_67,2024-07,134689.09,80221.73,54467.36,0.404,21.135,0.596,Moderate
user_67,2024-08,134526.5,96624.16,37902.33,0.282,20.873,0.718,Moderate
user_67,2024-09,119274.1,97709.91,21564.19,0.181,24.139,0.819,Moderate
user_67,2024-10,124071.05,91442.39,32628.65,0.263,21.66,0.737,Moderate
user_67,2024-11,130804.06,81121.92,49682.14,0.38,20.958,0.62,Moderate
user_67,2024-12,127520.15,96771.98,30748.17,0.241,21.262,0.759,Moderate
