user_id,monthly_income,other_income_sources,income_frequency
user_1,99634,Freelancing,bi-weekly
user_2,65806,Freelancing,bi-weekly
user_3,83611,None,monthly
user_4,52056,None,monthly
user_5,116904,None,bi-weekly
user_6,152901,Investments,monthly
user_7,179242,Rental,monthly
user_8,84560,Investments,monthly
user_9,199774,Rental,monthly
user_10,170460,Business,monthly
user_11,100866,Rental,bi-weekly
user_12,160473,None,monthly
user_13,161963,None,monthly
user_14,59362,Rental,bi-weekly
user_15,194028,None,bi-weekly
user_16,220961,None,bi-weekly
user_17,119199,Investments,bi-weekly
user_18,166670,Freelancing,monthly
user_19,139972,Business,bi-weekly
user_20,190683,None,bi-weekly
user_21,45751,Rental,bi-weekly
user_22,42122,Business,monthly
user_23,198965,Rental,bi-weekly
user_24,243355,Investments,bi-weekly
user_25,97410,Investments,bi-weekly
user_26,217671,Investments,monthly
user_27,204484,Freelancing,bi-weekly
user_28,246729,Rental,monthly
user_29,191931,None,monthly
user_30,63627,None,bi-weekly
user_31,235947,Rental,monthly
user_32,92637,Investments,bi-weekly
user_33,179159,Business,bi-weekly
user_34,83134,None,bi-weekly
user_35,117369,None,monthly
user_36,162770,Freelancing,monthly
user_37,237696,Investments,bi-weekly
user_38,186096,None,monthly
user_39,247272,Rental,monthly
user_40,109326,Business,monthly
user_41,159219,None,bi-weekly
user_42,193238,Rental,bi-weekly
user_43,68402,Investments,bi-weekly
user_44,46560,Business,bi-weekly
user_45,199929,Investments,monthly
user_46,206567,Rental,bi-weekly
user_47,210194,Rental,monthly
user_48,76641,Freelancing,monthly
user_49,119787,Rental,monthly
user_50,65478,Investments,monthly
user_51,141881,Rental,bi-weekly
user_52,215763,Business,bi-weekly
user_53,193967,Investments,bi-weekly
user_54,211683,Freelancing,bi-weekly
user_55,201389,Rental,bi-weekly
user_56,48576,None,monthly
user_57,156230,Rental,monthly
user_58,135075,Freelancing,bi-weekly
user_59,182728,None,monthly
user_60,144369,None,monthly
user_61,72023,Rental,monthly
user_62,213740,Investments,monthly
user_63,53258,None,monthly
user_64,73010,Business,monthly
user_65,57985,Business,monthly
user_66,193716,Investments,monthly
user_67,126129,Investments,monthly
user_68,112685,Investments,monthly
user_69,181614,None,monthly
user_70,68816,Freelancing,monthly
user_71,43895,None,monthly
user_72,194364,None,monthly
user_73,85677,None,monthly
user_74,73228,Rental,monthly
user_75,235471,Freelancing,bi-weekly
user_76,157512,None,monthly
user_77,158490,Business,monthly
user_78,201246,Freelancing,bi-weekly
user_79,160073,Freelancing,monthly
user_80,165562,Rental,bi-weekly
user_81,219856,Freelancing,bi-weekly
user_82,226751,Rental,monthly
user_83,61178,None,monthly
user_84,57218,Investments,bi-weekly
user_85,203661,Business,bi-weekly
user_86,139851,Business,bi-weekly
user_87,158938,Business,bi-weekly
user_88,65999,Freelancing,monthly
user_89,152740,Rental,monthly
user_90,148478,None,bi-weekly
user_91,144524,Rental,monthly
user_92,121932,Rental,bi-weekly
user_93,214354,None,bi-weekly
user_94,80013,Rental,monthly
user_95,63914,Freelancing,monthly
user_96,153213,Freelancing,bi-weekly
user_97,74108,Business,monthly
user_98,193738,Business,bi-weekly
user_99,215639,Freelancing,bi-weekly
user_100,132693,Rental,monthly
user_101,115400,Business,bi-weekly
user_102,132181,Freelancing,monthly
user_103,80561,Rental,monthly
user_104,68368,None,bi-weekly
user_105,70116,None,monthly
user_106,152489,Business,monthly
user_107,199644,None,monthly
user_108,87294,None,bi-weekly
user_109,129082,None,monthly
user_110,87554,Investments,bi-weekly
user_111,58241,Investments,monthly
user_112,64053,Business,monthly
user_113,138617,Rental,bi-weekly
user_114,129363,Investments,bi-weekly
user_115,121693,None,monthly
user_116,53791,Investments,monthly
user_117,237770,Business,monthly
user_118,216676,Freelancing,bi-weekly
user_119,156159,Rental,bi-weekly
user_120,199141,Rental,bi-weekly
user_121,111609,Investments,monthly
user_122,130484,Rental,monthly
user_123,114251,Business,bi-weekly
user_124,178132,None,monthly
user_125,97807,Rental,monthly
user_126,42015,Investments,bi-weekly
user_127,95373,Investments,bi-weekly
user_128,115876,None,monthly
user_129,42026,Rental,bi-weekly
user_130,86057,Investments,bi-weekly
user_131,179613,Investments,bi-weekly
user_132,58894,Rental,monthly
user_133,154352,Freelancing,bi-weekly
user_134,60411,None,bi-weekly
user_135,190313,Rental,bi-weekly
user_136,115894,Freelancing,bi-weekly
user_137,45467,None,monthly
user_138,202037,Rental,bi-weekly
user_139,63102,Rental,monthly
user_140,103783,Rental,bi-weekly
user_141,177353,Freelancing,bi-weekly
user_142,121336,None,monthly
user_143,127311,Investments,monthly
user_144,173820,Freelancing,monthly
user_145,243483,None,bi-weekly
user_146,230678,Investments,monthly
user_147,66949,Investments,bi-weekly
user_148,91713,Investments,monthly
user_149,239285,Freelancing,monthly
user_150,242597,Rental,bi-weekly
user_151,237773,Business,bi-weekly
user_152,218555,Business,bi-weekly
user_153,204421,None,monthly
user_154,155281,Freelancing,bi-weekly
user_155,155922,None,bi-weekly
user_156,195037,Freelancing,bi-weekly
user_157,172995,Freelancing,bi-weekly
user_158,161043,Rental,monthly
user_159,54913,None,bi-weekly
user_160,60114,Freelancing,bi-weekly
user_161,161297,Business,monthly
user_162,157894,Business,monthly
user_163,124286,Business,bi-weekly
user_164,171430,Investments,monthly
user_165,158101,Freelancing,bi-weekly
user_166,227253,Freelancing,monthly
user_167,50260,Investments,bi-weekly
user_168,155191,Business,monthly
user_169,135393,None,bi-weekly
user_170,141558,Rental,bi-weekly
user_171,217968,Business,monthly
user_172,246891,None,monthly
user_173,126426,Freelancing,bi-weekly
user_174,114487,None,monthly
user_175,127388,Freelancing,monthly
user_176,131703,None,bi-weekly
user_177,73803,Business,monthly
user_178,121155,Business,bi-weekly
user_179,208687,None,monthly
user_180,215666,Business,monthly
user_181,209351,Rental,bi-weekly
user_182,44779,None,bi-weekly
user_183,87254,Investments,bi-weekly
user_184,240843,Rental,monthly
user_185,99386,Investments,monthly
user_186,60228,None,monthly
user_187,173087,Business,monthly
user_188,213520,None,monthly
user_189,196564,Rental,monthly
user_190,82532,Investments,monthly
user_191,229053,Rental,monthly
user_192,147704,None,monthly
user_193,156444,Business,bi-weekly
user_194,237234,Rental,monthly
user_195,179987,Investments,bi-weekly
user_196,245617,Rental,monthly
user_197,136427,Business,bi-weekly
user_198,161026,None,bi-weekly
user_199,171833,Business,bi-weekly
user_200,82482,Investments,monthly
