user_id,date,transaction_type,transaction_amount
user_1,2025-09-09,Fuel,20388.99
user_1,2025-09-16,Salary Credit,24827.92
user_1,2025-10-07,Salary Credit,17327.85
user_1,2025-07-05,Groceries,21039.35
user_1,2025-09-26,Healthcare,16210.43
user_1,2025-07-25,EMI,5005.74
user_1,2025-09-23,Rent,27318.07
user_1,2025-08-19,EMI,7629.7
user_1,2025-06-09,EMI,38531.08
user_1,2025-07-22,Groceries,15686.31
user_1,2025-10-09,Investment,34091.12
user_1,2025-05-21,Salary Credit,30916.53
user_1,2025-07-18,Fuel,9482.16
user_1,2025-09-15,Salary Credit,15252.2
user_1,2025-08-19,Rent,16342.05
user_1,2025-09-13,Investment,44704.05
user_1,2025-05-21,EMI,19087.9
user_1,2025-07-01,Rent,3067.97
user_1,2025-10-17,Dining,37730.62
user_1,2025-05-23,Utilities,12206.31
user_1,2025-09-27,Healthcare,37743.3
user_1,2025-08-06,Investment,47493.17
user_1,2025-08-27,EMI,3501.28
user_1,2025-07-11,Insurance,27879.49
user_1,2025-10-21,Rent,24466.49
user_1,2025-08-23,Investment,31860.29
user_1,2025-06-27,Salary Credit,13823.41
user_1,2025-06-03,Utilities,33917.32
user_1,2025-07-29,Dining,38267.43
user_1,2025-09-30,Groceries,15578.34
user_1,2025-06-06,Investment,22576.12
user_1,2025-08-11,Healthcare,10571.12
user_1,2025-05-22,Groceries,18978.61
user_1,2025-11-02,Groceries,39210.17
user_1,2025-09-13,Healthcare,47654.33
user_1,2025-11-02,Healthcare,22861.23
user_1,2025-08-11,Salary Credit,40725.86
user_1,2025-05-31,Utilities,14817.85
user_1,2025-07-12,Groceries,526.88
user_2,2025-10-09,EMI,30094.45
user_2,2025-06-17,Investment,49962.47
user_2,2025-09-18,Dining,29465.38
user_2,2025-10-18,Healthcare,14424.91
user_2,2025-05-16,Groceries,37089.56
user_2,2025-07-25,Utilities,3961.79
user_2,2025-09-14,Rent,20067.59
user_2,2025-08-19,Rent,41609.66
user_2,2025-09-02,Healthcare,49941.65
